***************************************************************************************
Start Datenerfassung am:	27.06.2023 10:43:03	Messzyklus: 30 Sekunden
Begleitheizung auf 400°C
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	R_O_BT110_Motor	R_O_BT227_SCMotor																		
27.06.2023	10:48:17	51,300	42,700	32,800	48,800	62,900	69,000	52,500	24,200	27,000	39,500	44,600	44,800	40,900	22,300	22,100	22,100	21,500	176,900	25,600	276,100	320,000	262,400	320,000	269,900	270,800	278,000	273,800	285,100	264,700	276,000	329,700	162,200	216,700	208,800	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	568,034	412,109	438,151	437,609	0,000	0,000	0,000	56,248	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:48:49	51,300	43,700	32,400	49,000	62,800	68,800	52,200	23,300	26,900	39,800	44,500	44,800	40,900	22,300	22,100	22,100	21,500	176,900	25,600	276,100	320,000	262,300	320,100	269,900	270,800	277,900	273,800	285,500	264,800	276,000	330,300	162,200	215,700	209,000	400,100	22,800	23,600	22,100	21,800	22,500	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	611,328	448,242	439,019	437,174	0,000	0,000	0,000	54,137	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:49:20	51,200	43,500	32,000	49,200	62,700	68,800	52,300	23,300	26,900	39,600	44,200	44,600	40,900	22,300	22,100	22,200	21,500	176,800	25,600	276,000	319,900	262,300	319,800	269,800	270,800	278,000	273,800	284,600	264,700	276,000	330,900	162,200	214,500	209,100	400,100	22,800	23,800	22,100	21,800	22,400	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,018	0,000	602,431	649,414	438,477	436,957	0,000	0,000	0,000	53,541	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:49:52	51,100	43,100	31,600	49,300	62,700	68,700	52,300	23,100	26,800	39,500	44,400	44,600	40,700	22,300	22,100	22,200	21,500	176,800	25,600	276,100	320,100	262,400	320,000	269,900	270,900	278,000	273,800	284,900	264,700	276,000	331,500	162,200	212,600	209,100	400,000	22,800	23,800	22,100	21,800	22,400	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	561,957	720,920	439,887	436,198	0,000	0,000	0,000	54,744	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:50:23	51,200	42,500	31,300	49,500	62,600	68,600	52,300	23,000	26,800	39,500	44,400	44,400	40,600	22,300	22,200	22,200	21,500	176,900	25,800	276,200	320,000	262,200	320,000	269,800	270,000	278,000	273,800	285,100	264,800	276,000	331,900	162,200	213,000	209,200	400,100	22,800	23,800	22,100	21,800	22,400	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,018	0,000	571,181	473,524	441,298	438,694	0,000	0,000	0,000	52,566	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:50:54	51,300	43,900	30,900	49,600	62,700	68,500	52,300	23,000	26,700	39,600	44,100	44,200	40,600	22,300	22,200	22,200	21,500	176,800	25,700	276,200	320,100	262,300	320,100	269,900	270,100	278,000	273,800	285,000	264,800	276,000	332,600	162,300	212,000	209,300	399,900	22,800	23,800	22,100	21,800	22,400	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,018	0,000	506,944	434,028	437,717	436,632	0,000	0,000	0,000	56,728	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:51:26	51,100	42,700	30,600	49,700	62,500	68,400	52,100	23,000	26,600	39,500	44,100	44,100	40,600	22,300	22,200	22,100	21,500	176,800	25,600	276,200	320,200	262,300	320,100	269,900	270,900	278,000	273,900	285,000	264,700	276,000	333,000	162,300	210,200	209,400	400,000	22,800	23,700	22,000	21,800	22,400	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	435,330	555,122	438,477	437,500	0,000	0,000	0,000	54,276	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:51:57	51,100	42,200	30,200	49,900	62,500	68,300	52,100	23,000	26,600	39,300	44,100	44,100	40,400	22,300	22,200	22,100	21,500	176,800	25,700	276,200	320,100	262,200	320,000	269,800	270,600	278,000	273,900	285,300	264,700	276,000	333,500	162,400	209,100	209,400	400,000	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	380,317	535,156	441,298	435,547	0,000	0,000	0,000	53,590	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:52:29	51,100	42,200	29,900	49,900	62,400	68,300	52,100	23,000	26,700	39,100	44,000	44,000	40,500	22,300	22,200	22,100	21,500	176,700	25,700	276,200	320,000	262,300	320,000	269,800	270,900	278,000	273,900	285,300	264,700	276,000	333,900	162,400	208,400	209,400	400,100	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,969	0,990	0,973	0,000	-0,090	-0,004	-0,018	0,000	572,374	477,214	437,500	436,957	0,000	0,000	0,000	50,719	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:53:00	51,000	41,900	29,700	50,100	62,300	68,200	52,000	22,900	26,700	39,200	44,100	44,200	40,300	22,300	22,100	22,000	21,500	176,700	25,600	276,200	320,100	262,300	319,800	269,800	270,800	278,000	273,900	284,800	264,800	276,100	334,200	162,400	206,500	209,400	400,000	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	732,422	548,611	441,189	435,655	0,000	0,000	0,000	52,250	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:53:32	50,900	41,900	29,300	50,200	62,300	68,100	52,100	22,800	26,600	39,300	43,900	44,100	40,200	22,300	22,100	22,000	21,500	176,700	25,600	276,200	320,000	262,300	320,000	269,800	271,000	278,100	273,900	285,600	264,800	276,100	334,600	162,500	206,000	209,500	400,100	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	565,321	474,935	441,081	437,066	0,000	0,000	0,000	49,966	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:54:03	50,900	42,400	29,000	50,200	62,200	68,000	52,300	22,800	26,600	39,400	43,900	43,800	40,200	22,300	22,100	22,000	21,500	176,700	25,600	276,200	320,000	262,300	320,000	269,900	270,900	278,000	273,900	285,000	264,700	276,000	334,900	162,500	206,300	209,500	400,000	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,968	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	558,160	482,422	438,802	437,500	0,000	0,000	0,000	53,215	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:54:34	50,900	44,900	28,800	50,400	62,000	67,900	52,000	22,800	26,600	39,100	43,900	43,700	40,100	22,300	22,100	22,000	21,500	176,800	25,700	276,200	320,000	262,400	320,000	269,900	271,000	278,100	273,900	285,300	264,800	276,100	335,300	162,500	205,200	209,600	400,000	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,968	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	570,747	470,486	439,128	438,911	0,000	0,000	0,000	51,388	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:55:06	50,700	42,800	28,500	50,400	62,000	67,800	51,900	22,800	26,500	39,000	43,700	43,700	39,900	22,300	22,100	22,000	21,500	176,700	25,700	276,200	320,000	262,400	320,000	269,900	270,900	278,200	273,900	285,500	264,800	276,200	335,600	162,600	204,500	209,600	400,000	23,000	23,700	22,000	21,800	22,500	22,100	22,100	22,300	0,968	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	554,579	469,401	439,128	436,740	0,000	0,000	0,000	50,918	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
